task,round_in_task,global_round,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,loss
0,1,1,98.87,98.87,40.17,98.76,98.87,37.31,98.87,98.87,36.15,98.76,0.122168
0,2,2,99.41,99.41,39.28,99.01,99.41,39.5,99.41,99.41,39.39,99.21,0.027306
0,3,3,99.45,99.45,39.14,99.1,99.45,41.19,99.45,99.45,40.03,99.27,0.029344
0,4,4,99.46,99.46,39.11,99.13,99.46,41.81,99.46,99.46,40.23,99.29,0.028968
0,5,5,99.52,99.52,39.75,99.28,99.52,45.94,99.52,99.52,41.87,99.38,0.040346
0,6,6,99.49,99.49,39.2,99.22,99.49,43.86,99.49,99.49,40.9,99.34,0.051122
0,7,7,99.49,99.49,39.13,99.22,99.49,43.72,99.49,99.49,40.81,99.34,0.039815
0,8,8,99.5,99.5,39.26,99.24,99.5,44.33,99.5,99.5,41.07,99.36,0.033046
0,9,9,99.49,99.49,39.19,99.22,99.49,43.8,99.49,99.49,40.88,99.34,0.038138
0,10,10,99.48,99.48,39.1,99.19,99.48,43.03,99.48,99.48,40.59,99.32,0.053924
0,11,11,99.49,99.49,39.17,99.22,99.49,43.71,99.49,99.49,40.84,99.34,0.032888
0,12,12,99.48,99.48,39.1,99.19,99.48,43.06,99.48,99.48,40.61,99.33,0.046249
0,13,13,99.49,99.49,39.13,99.21,99.49,43.59,99.49,99.49,40.77,99.34,0.03231
0,14,14,99.51,99.51,39.42,99.25,99.51,44.86,99.51,99.51,41.33,99.37,0.03967
0,15,15,99.48,99.48,39.06,99.21,99.48,43.47,99.48,99.48,40.69,99.34,0.036947
0,16,16,99.5,99.5,39.26,99.24,99.5,44.32,99.5,99.5,41.07,99.36,0.038378
0,17,17,99.47,99.47,38.8,99.19,99.47,42.66,99.47,99.47,40.26,99.32,0.028479
0,18,18,99.49,99.49,39.15,99.21,99.49,43.55,99.49,99.49,40.78,99.34,0.038468
0,19,19,99.52,99.52,39.73,99.27,99.52,45.82,99.52,99.52,41.83,99.38,0.033005
0,20,20,99.5,99.5,39.3,99.24,99.5,44.43,99.5,99.5,41.13,99.36,0.027115
0,21,21,99.52,99.52,39.76,99.28,99.52,46.02,99.52,99.52,41.9,99.38,0.029479
0,22,22,99.49,99.49,39.19,99.23,99.49,43.98,99.49,99.49,40.93,99.35,0.03031
0,23,23,99.5,99.5,39.31,99.23,99.5,44.29,99.5,99.5,41.1,99.35,0.026692
0,24,24,99.51,99.51,39.66,99.26,99.51,45.42,99.51,99.51,41.68,99.37,0.024322
0,25,25,99.51,99.51,39.46,99.25,99.51,44.92,99.51,99.51,41.38,99.37,0.02487
0,26,26,99.5,99.5,39.39,99.24,99.5,44.5,99.5,99.5,41.22,99.36,0.026036
0,27,27,99.51,99.51,39.52,99.26,99.51,45.1,99.51,99.51,41.47,99.37,0.02766
0,28,28,99.49,99.49,39.21,99.22,99.49,43.79,99.49,99.49,40.89,99.34,0.031615
0,29,29,99.51,99.51,39.51,99.26,99.51,45.15,99.51,99.51,41.48,99.37,0.026276
0,30,30,99.45,99.45,38.84,99.14,99.45,41.68,99.45,99.45,40.0,99.29,0.020896
