task,round_in_task,global_round,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,loss
1,1,31,52.29,52.29,20.01,45.38,52.29,17.64,52.29,52.29,15.97,41.64,0.673407
1,2,32,97.84,97.84,33.21,98.8,97.84,34.92,97.84,97.84,32.48,98.23,0.124229
1,3,33,51.34,51.34,28.65,80.33,51.34,26.43,51.34,51.34,17.82,39.14,0.650918
1,4,34,49.16,49.16,20.6,36.69,49.16,24.99,49.16,49.16,13.53,35.85,2.110486
1,5,35,49.14,49.14,11.86,30.06,49.14,24.95,49.14,49.14,13.44,35.81,3.381763
1,6,36,49.15,49.15,11.87,30.06,49.15,24.97,49.15,49.15,13.45,35.81,3.933253
1,7,37,49.15,49.15,11.87,30.07,49.15,24.97,49.15,49.15,13.45,35.81,3.98773
1,8,38,49.15,49.15,18.69,30.19,49.15,24.95,49.15,49.15,13.47,35.82,3.776496
1,9,39,49.15,49.15,18.6,30.19,49.15,24.96,49.15,49.15,13.5,35.82,3.839277
1,10,40,49.15,49.15,19.24,30.2,49.15,25.01,49.15,49.15,13.54,35.82,3.727605
1,11,41,49.15,49.15,19.16,30.2,49.15,25.06,49.15,49.15,13.66,35.82,3.596726
1,12,42,49.15,49.15,25.1,30.32,49.15,25.04,49.15,49.15,13.59,35.82,3.45947
1,13,43,49.15,49.15,18.71,30.2,49.15,25.01,49.15,49.15,13.6,35.82,3.389124
1,14,44,49.16,49.16,17.87,30.18,49.16,25.04,49.16,49.16,13.6,35.82,3.294336
1,15,45,49.15,49.15,16.79,30.16,49.15,25.04,49.15,49.15,13.59,35.82,3.14122
1,16,46,49.16,49.16,25.18,30.33,49.16,25.07,49.16,49.16,13.65,35.82,3.123029
1,17,47,49.15,49.15,16.3,30.16,49.15,25.01,49.15,49.15,13.59,35.82,3.182799
1,18,48,49.16,49.16,15.27,30.15,49.16,25.25,49.16,49.16,14.02,35.83,3.286962
1,19,49,49.15,49.15,15.25,30.14,49.15,24.97,49.15,49.15,13.52,35.82,3.254166
1,20,50,49.15,49.15,15.57,30.14,49.15,25.02,49.15,49.15,13.62,35.82,3.25925
1,21,51,49.15,49.15,14.5,30.13,49.15,25.03,49.15,49.15,13.64,35.83,2.935146
1,22,52,49.16,49.16,22.89,30.3,49.16,25.07,49.16,49.16,13.7,35.83,2.966502
1,23,53,49.15,49.15,14.67,30.13,49.15,25.03,49.15,49.15,13.66,35.83,2.944952
1,24,54,49.15,49.15,14.27,30.13,49.15,25.01,49.15,49.15,13.6,35.82,3.092997
1,25,55,49.15,49.15,14.29,30.13,49.15,25.06,49.15,49.15,13.71,35.83,3.175295
1,26,56,49.15,49.15,14.33,30.14,49.15,25.21,49.15,49.15,13.91,35.83,3.020843
1,27,57,49.16,49.16,22.84,30.31,49.16,25.19,49.16,49.16,13.91,35.83,2.951905
1,28,58,49.16,49.16,14.47,30.14,49.16,25.28,49.16,49.16,14.07,35.84,2.88915
1,29,59,49.16,49.16,14.48,30.15,49.16,25.33,49.16,49.16,14.11,35.84,2.89059
1,30,60,49.16,49.16,22.63,36.81,49.16,25.37,49.16,49.16,14.15,35.85,3.015468
2,1,61,54.59,54.59,12.69,40.15,54.59,17.87,54.59,54.59,13.47,43.97,2.813911
2,2,62,55.15,55.15,18.35,45.93,55.15,21.94,55.15,55.15,15.15,45.75,2.427295
2,3,63,55.81,55.81,20.2,46.24,55.81,23.47,55.81,55.81,16.52,46.79,2.1186
2,4,64,56.32,56.32,21.27,46.25,56.32,23.89,56.32,56.32,17.48,47.34,1.952476
2,5,65,57.27,57.27,20.4,45.98,57.27,25.14,57.27,57.27,19.21,48.14,1.823426
2,6,66,56.61,56.61,20.31,45.95,56.61,25.73,56.61,56.61,18.69,47.52,1.81865
2,7,67,56.78,56.78,21.88,46.19,56.78,25.41,56.78,56.78,19.59,47.65,1.808199
2,8,68,56.3,56.3,21.73,46.29,56.3,25.08,56.3,56.3,18.93,47.18,1.86278
2,9,69,57.65,57.65,22.1,46.33,57.65,26.93,57.65,57.65,21.01,48.44,1.744637
2,10,70,57.25,57.25,28.07,46.47,57.25,26.47,57.25,57.25,20.99,48.13,1.742692
2,11,71,56.43,56.43,23.59,46.4,56.43,25.66,56.43,56.43,19.94,47.34,1.712486
2,12,72,57.43,57.43,22.26,46.42,57.43,27.47,57.43,57.43,21.41,48.29,1.783151
2,13,73,57.71,57.71,22.27,46.43,57.71,29.23,57.71,57.71,21.96,48.55,1.693413
